event_name,display_name,description,category
App Launched,앱 실행,앱이 포그라운드로 진입하여 bootstrapIfNeeded()가 호출된 시점. 최초 설치 후 첫 실행 여부는 days_since_install로 판별.,Lifecycle
Search Executed,검색 실행,사용자가 조건을 바꿔 결과 목록이 갱신된 시점. 반경/키워드/위치 변경 포함.,Search
Empty State Shown,빈 결과 화면 표시,검색 결과가 0건으로 전환된 시점. 직전에는 결과가 있었던 경우에만 발화.,Search
Result Tapped,결과 탭,검색 결과 목록에서 유치원 카드를 탭한 시점.,Navigation
Detail Opened,상세 화면 오픈,유치원 상세 시트가 표시된 시점. Result Tapped 직후 동반 발생.,Navigation
Favorite Added,즐겨찾기 추가,유치원을 즐겨찾기에 추가한 시점.,Engagement
Favorite Removed,즐겨찾기 제거,유치원을 즐겨찾기에서 제거한 시점.,Engagement
Comparison Added,비교 추가,유치원을 비교 목록에 추가한 시점.,Compare
Comparison Removed,비교 제거,유치원을 비교 목록에서 제거한 시점.,Compare
Compare Viewed,비교 탭 진입,비교 탭의 onAppear 시점. compare_count가 0일 수도 있음 (빈 상태 포함).,Compare
Compare Shared,비교표 공유,비교표를 카카오톡 또는 시스템 공유시트로 전송한 시점.,Compare
Filter Applied,필터 적용,반경/정렬 등 필터가 변경된 후 500ms debounce가 끝나 실제로 적용된 시점.,Search
Tab Changed,탭 전환,하단 탭바에서 탭을 전환한 시점.,Navigation
Review Link Tapped,후기 링크 열람,상세 화면에서 외부 후기 링크(블로그/카페)를 눌러 앱 밖으로 이동한 시점. 후기가 실제 의사결정에 쓰이는지 판단하는 지표.,Review
Review Submit Opened,후기 제보 폼 열람,후기 제보용 Google Form으로 이동한 시점. 유치원명/코드가 미리 채워진 상태로 열린다.,Review
Review Prompt Triggered,앱스토어 리뷰 요청 발동,앱스토어 리뷰 요청을 시스템에 호출한 시점. iOS가 실제 노출 여부를 결정하므로 표시가 보장되지 않는다. 요청 성공이 아니라 트리거 도달로 해석할 것.,Review
App Store Review Tapped,앱스토어 리뷰 링크 클릭,더보기 탭의 앱스토어 리뷰 작성 링크를 누른 시점.,Review
